the	the	at
,	-	,
.	-	.
of	of	io
<p>	-	null
and	and	cc
a	a	at1
to	to	to
in	in	ii
is	be	vbz
for	for	if
to	to	ii
The	the	at
on	on	ii
with	with	iw
was	be	vbdz
it	it	pph1
that	that	cst
I	i	ppis1
are	be	vbr
be	be	vbi
at	at	ii
by	by	ii
from	from	ii
has	have	vhz
not	not	xx
you	you	ppy
he	he	pphs1
said	say	vvd
an	a	at1
this	this	dd1
his	his	appge
)	-	)
(	-	(
have	have	vh0
or	or	cc
will	will	vm
?	-	?
their	their	appge
they	they	pphs2
:	-	:
but	but	ccb
we	we	ppis2
who	who	pnqs
<h>	-	null
which	which	ddq
been	be	vbn
that	that	cst|dd1
were	were	vbdr
can	can	vm
It	it	pph1
had	have	vhd
would	would	vm
also	also	rr
its	its	appge
people	people	nn
about	about	ii
our	our	appge
have	have	vhi
all	all	db
that	that	dd1
she	she	pphs1
one	one	mc1
your	your	appge
We	we	ppis2
time	time	nnt1
what	what	ddq
as	as	csa
them	them	ppho2
do	do	vd0
into	into	ii
out	out	rp
He	he	pphs1
up	up	rp
year	year	nnt1
than	than	csn
new	new	jj
In	in	ii
some	some	dd
years	year	nnt2
her	her	appge
just	just	rr
other	other	jj
two	two	mc
But	but	ccb
first	first	md
This	this	dd1
in	in	ii|rp
my	my	appge
could	could	vm
--	-	zz
any	any	dd
there	there	ex
to	to	ii22
now	now	rt
says	say	vvz
-	-	-
him	him	ppho1
of	of	ii22
did	do	vdd
being	be	vbg
last	last	md
more	more	dar
many	many	da2
these	these	dd2
like	like	ii
--	-	zz
no	no	at
when	when	cs|rrq
as	as	ii|csa
me	me	ppio1
should	should	vm
;	-	;
very	very	rg
those	those	dd2
because	because	cs
only	only	rr
that	that	dd1|cst
us	us	ppio2
way	way	nn1
if	if	cs
may	may	vm
then	then	rt
And	and	cc
world	world	nn1
government	government	nn1
get	get	vvi
They	they	pphs2
If	if	cs
!	-	!
as	as	ii
does	do	vdz
make	make	vvi
against	against	ii
good	good	jj
while	while	cs
even	even	rr
on	on	ii|rp
three	three	mc
do	do	vdi
after	after	ii|cs
as	as	csa|ii
There	there	ex
how	how	rrq
day	day	nnt1
still	still	rr
company	company	nn1
through	through	ii
more	more	rgr
between	between	ii
country	country	nn1
during	during	ii
You	you	ppy
here	here	rl
life	life	nn1
same	same	da
most	most	rgt
really	really	rr
part	part	nn1
--	-	zz
information	information	nn1
take	take	vvi
million	million	nno
see	see	vvi
team	team	nn1
own	own	da
over	over	ii
business	business	nn1
She	she	pphs1
out	out	ii21
where	where	cs|rrq
family	family	nn1
That	that	dd1
back	back	rp
number	number	nn1
next	next	md
A	a	at1
down	down	rp
another	another	dd1
every	every	at1
few	few	da2
in	in	ii31
week	week	nnt1
game	game	nn1
children	child	nn2
never	never	rr
India	india	np1
police	police	nn2
such	such	da
think	think	vv0
What	what	ddq
women	woman	nn2
For	for	if
something	something	pn1
go	go	vvi
things	thing	nn2
great	great	jj
after	after	ii
different	different	jj
work	work	nn1
group	group	nn1
city	city	nn1
there	there	rl
under	under	ii
without	without	iw
money	money	nn1
as	as	ii22
