A	KB
ab	KB
aba	KB
aba-aba	KB
abad	KB
abadi	KS
abadiah	KB
abah	KB
abai	KS
abaimana	KB
abaka	KB
abaktinal	KS
abakus	KB
abal-abal	KB
aban	KB
abang	KB
abangan	KB
abangga	KB
abar	KB
abatoar	KB
abau	KB
abdas	KKI
abdi	KB
abdikasi	KB
abdomen	KB
abdominal	KS
abdu	KB
abduksi	KB
abduktor	KB
abece	KB
aben	KKI
aberasi	KB
abet	KB
abian	KB
abid	KS
abidin	KB
abiogenesis	KB
abiosfer	KB
abiotik	KS
abis	KB
abisal	KB
abiseka	KB
abiturien	KB
abjad	KB
abjadiah	KS
ablasi	KB
ablaut	KB
ablepsia	KB
abnormal	KS
abnormalitas	KB
abnus	KB
aboi	KB
abolisi	KB
abonemen	KB
aborsi	KB
abortif	KS
abortus	KB
abrak	KB
abrakadabra	KB
abrar	KS
abras	KS
abrasi	KB
abreaksi	KB
abrek	KB
abreviasi	KB
absah	KS
absen	KKI
absensi	KB
absente	KB
absenteisme	KB
abses	KB
absis	KB
absolut	KS
absolutisme	KB
absorben	KB
absorpsi	KB
absorptif	KS
abstain	KKI
abstinensi	KB
abstrak	KS
abstraksi	KB
absurd	KS
absurdisme	KB
abtar	KS
abu	KB
abu-abu	KB
abuan	KB
abuh	KS
abuk	KB
abuk-abuk	KB
abul	KKI
abulhayat	KB
abulia	KB
abur	KS
abus	KB
acah	KKI
acak	KS
acala	KB
acan	KKI
acang	KB
acap	KS
acap kali	KS
acar	KB
acara	KB
acaram	KB
acat	KB
acau	KKI
acawi	KB
aci	KS
aci-aci	KB
acik	KB
aco	KKI
acu	KKI
acuh	KKI
acum	KKI
acung	KKI
ad libitum	KS
ada	KKI
adab	KB
adad	KB
adagio	KB
adagium	KB
adakala	KT
adakan	KT
adaks	KB
adalah	KKI
adan	KB
adang	KKI
adap	KB
adaptabilitas	KB
adaptasi	KB
adaptif	KS
adaptor	KB
adapun	KSD
adar	KKI
adas	KB
adat	KB
adati	KS
adegan	KB
adeh	KKI
adekuat	KS
adem	KS
adempauze	KB
adendum	KB
adenoid	KB
adenoma	KB
adhesi	KB
adhesif	KS
adiabatik	KS
adib	KKI
adibintang	KB
adiboga	KB
adibusana	KB
adidaya	KS
adigang	KS
adiguna	KS
adigung	KS
adik	KB
adika	KS
adikara	KS
adikarya	KB
adikodrati	KS
adiksi	KB
adiktif	KS
adikuasa	KS
adil	KS
adiluhung	KS
adimarga	KB
adinda	KB
adipati	KB
adipenghantar	KB
adiposa	KB
adipositas	KB
adipura	KB
adiraja	KB
adiratna	KB
adisi	KB
adisional	KS
aditif	KS
aditokoh	KB
adiwangsa	KB
adiwarna	KS
adjektif	KB
adjektiva	KB
adjektival	KS
adjuvan	KB
administrasi	KB
administratif	KS
administrator	KB
admiral	KB
admitans	KB
adnan	KB
adolesens	KB
adon	KKI
adopsi	KB
adoptif	KS
adpertensi	KB
adrenal	KB
adrenalin	KB
adrenergik	KS
adres	KB
adsorben	KB
adsorpsi	KB
adstringen	KB
adu	KKI
adu domba	KKI
adu untung	KKI
aduhai	SKT
aduk	KKI
aduksi	KB
aduktor	KB
adun	KS
adveksi	KB
adventisia	KB
adventisius	KS
adverbia	KB
adverbial	KS
advertensi	KB
advis	KB
advokasi	KB
advokat	KB
aerasi	KB
aerator	KB
aerob	KB
aerobatik	KB
aerobik	KS
aerobika	KB
aerodinamik	KS
aerodinamika	KB
aerofon	KB
aerogram	KB
aerolit	KB
aerometer	KB
aeromovel	KB
aeronautika	KB
aeroplankton	KB
aeroskop	KB
aerosol	KB
aerostatika	KB
aestetika	KB
afair	KB
afal	KB
afasia	KB
afdal	KS
afdeling	KB
afdruk	KB
afek	KB
afeksi	KB
afektif	KS
aferesis	KB
afiat	KS
afidavit	KB
afiks	KB
afiksasi	KB
afiliasi	KB
afinitas	KB
afirmasi	KB
afirmatif	KS
afonia	KB
aforisme	KB
afotik	KS
afrasia	KB
afrikat	KB
afrodisiak	KB
afsun	KB
agak	KB
agal	KB
agalaksia	KS
agam	KS
agama	KB
agamais	KS
agamawi	KS
agamen	KB
agamet	KB
agami	KB
agamogenesis	KB
agar	KSD
agas	KB
agen	KB
agenda	KB
agentif	KS
agih	KKI
agil	KB
agio	KB
agiria	KB
agitasi	KB
agitatif	KS
agitator	KB
aglikon	KB
aglomerasi	KB
aglomerat	KB
aglutinasi	KB
aglutinat	KB
aglutinatif	KS
aglutinin	KB
agnosia	KB
agnostik	KB
agnostisisme	KB
agogo	KB
agon	KB
agonia	KB
agonis	KB
agonistik	KB
agorafobia	KB
agradasi	KB
agrafia	KB
agraria	KB
agraris	KS
agregasi	KB
agregat	KB
agregatif	KS
agresi	KB
agresif	KS
agresivitas	KB
agresor	KB
agripnia	KB
agrobisnis	KB
agroekonomi	KB
agroekosistem	KB
agroindustri	KB
agrokimia	KB
agronom	KB
agronomi	KB
agrostologi	KB
agrowisata	KB
aguk	KB
agul	KS
agun	KB
agung	KS
agus	KB
Agustus	KB
agut	KKI
Ahad	KB
ahimsa	KB
ahistoris	KS
ahkam	KB
ahli	KB
ahlusuluk	KB
ahmak	KS
aho	SKT
ahwal	KB
aib	KS
ain	KB
air	KB
aja	KB
ajaib	KS
ajak	KKI
ajal	KB
ajang	KB
ajar	KB
ajar-ajar	KB
ajek	KS
ajektiva	KB
aji	KS
aji-aji	KB
ajir	KB
ajnabi	KB
ajojing	KB
aju	KKI
ajudan	KB
ajuk	KKI
ajun	KS
ajung	KB
akad	KB
akademi	KB
akademik	KS
akademikus	KB
akademis	KS
akademisi	KB
akal	KB
akan	KT|KD
akang	KB
akapela	KB
akar	KB
akas	KS
akasia	KB
akbar	KS
akene	KB
akeo	KB
akh	SKT
akhir	KB
akhirat	KB
akhirulkalam	KB
akhlak	KB
aki	KB
akibat	KB
akidah	KB
akikah	KB
akil	KS
aklamasi	KB
aklasia	KB
akli	KS
aklimasi	KB
aklimatisasi	KB
akmal	KS
akolade	KB
akomodasi	KB
akomodatif	KS
akor	KS
akordeon	KB
akrab	KS
akreditasi	KB
akriflavina	KB
akrilat	KB
akrilik	KS
akrobat	KB
akrobatik	KB
akrofobia	KB
akromegali	KB
akrometer	KB
akromion	KB
akronim	KB
aksa	KS
aksara	KB
aksarawan	KB
aksarawati	KB
akseleran	KB
akselerasi	KB
akselerator	KB
akselerometer	KB
aksen	KB
aksentologi	KB
aksentuasi	KB
aksep	KB
akseptabel	KS
akseptabilitas	KB
akseptasi	KB
akseptor	KB
akses	KB
aksesibilitas	KB
aksesori	KB
aksi	KB
aksidental	KB
aksila	KB
aksiologi	KB
aksioma	KB
aksiomatis	KS
aksis	KB
akson	KB
aksostil	KB
akta	KB
aktif	KS
aktinida	KB
aktinik	KS
aktinium	KB
aktinolit	KB
aktinometer	KB
aktiva	KB
aktivis	KB
aktivisme	KB
aktivitas	KB
aktor	KB
aktris	KB
aktual	KS
aktualisasi	KB
aktuaria	KB
aktuaris	KB
aku	KG
akua	KB
akuades	KB
akuaduk	KB
akuakultur	KB
akualung	KB
akuamarin	KB
akuarel	KB
akuarium	KB
Akuarius	KB
akuatik	KS
akuifer	KB
akuisisi	KB
akuk	KB
akulturasi	KB
akumulasi	KB
akumulatif	KS
akumulator	KB
akun	KB
akuntabel	KS
akuntabilitas	KB
akuntan	KB
akuntansi	KB
akupunktur	KB
akur	KS
akurasi	KB
akurat	KS
akusatif	KB
akustik	KS
akustika	KB
akut	KS
akwal	KB
ala	TB
alaf	BLP
alah	KS
alam	KB
alamak	SKT
alamas	KB
alamat	KB
alamatulhayat	KB
alami	KS
alamiah	KS
alang	KB
alang-alang	KB
alangkah	KT
alantois	KB
alap	KS
alap-alap	KB
alarm	KB
alas	KB
alat	KB
alau	KB
alawar	KB
albas	KB
albatros	KB
albedo	KB
albedometer	KB
albinisme	KB
albino	KB
albit	KB
albuginea	KB
album	KB
albumen	KB
albumin	KB
albuminometer	KB
albuminuria	KS
aldehida	KB
alegori	KB
alegoris	KS
aleksia	KB
alel	KB
alem	KS
alergen	KB
alergi	KB
alfa	KB
alfabet	KB
alfabetis	KS
alfanumerik	KB
alga	KS
algojo	KB
algologi	KB
algoritme	KB
alhamdulillah	SKT
alhasil	KSD
ali	KKI
ali-ali	KB
aliansi	KB
alias	TB
aliase	KB
alibi	KB
alienasi	KB
alifatik	KS
alih	KKI
alih aksara	KB
alih fungsi	KKI
alihragam	KB
alik	KKI
alikuot	KB
alim	KS
alimentasi	KB
alimenter	KB
alinea	KB
aling	KKI
alir	KKI
alis	KB
alisiklik	KS
alit	KB
aliterasi	KB
alizarin	KB
aljabar	KB
alkali	KB
alkalinitas	KB
alkalis	KS
alkaloid	KB
alkalometri	KB
alkana	KB
alkausar	KB
alkena	KB
alkil	KB
alkimia	KB
alkisah	KB
Alkitab	KB
alkohol	KB
alkoholisme	KB
alku	KB
alkuna	KB
almamater	KB
almanak	KB
almandin	KB
almandit	KB
almarhum	KB
almarhumah	KB
alobar	KB
alofon	KB
alograf	KB
aloi	KB
alokasi	KB
alomerisme	KB
alomorf	KB
alonim	KB
alopesia	KB
alot	KS
alotropi	KB
alpa	KS
alpaka	KB
alperes	KB
Alquran	KB
altar	KB
alter ego	KB
alternasi	KB
alternatif	KB
alternator	KB
altimeter	KB
alto	KB
altokumulus	KB
altostratus	KB
altruis	KB
altruisme	KB
altruistis	KS
alu	KB
alu-alu	KB
alum	KS
alumina	KB
aluminium	KB
alumni	KB
alumnus	KB
alun	KB
alun-alun	KB
alung	KB
alup	KKI
alur	KB
alusi	KB
aluvial	KS
aluvium	KB
alveolar	KS
alveolum	KB
alveolus	KB
alwah	KB
ama	KB
amah	KB
amal	KB
amalgam	KB
amalgamasi	KB
amalgamator	KB
aman	KS
amanah	KB
amanat	KB
amandel	KB
amandemen	KB
amang	KKI
amanitin	KB
amar	KB
amat	KT
amatir	KB
amatirisme	KB
ambah	KB
ambak	KKI
ambal	KB
ambalela	KKI
ambang	KB
ambar	KB
ambasador	KB
ambek	KKI
ambek paramaarta	KS
ambergris	KB
ambet	KB
ambigu	KS
ambiguitas	KB
ambil	KKI
ambil alih	KKI
ambilingual	KB
ambin	KB
ambing	KB
ambisi	KB
ambisius	KS
ambivalen	KS
ambivalensi	KB
amblas	KKI
ambles	KKI
amboi	SKT
ambring	KS
ambrol	KKI
ambruk	KKI
ambulans	KB
ambulatori	KS
ambur	KKI
amburadul	KS
ameba	KB
amebiasis	KB
ameboid	KS
amebosit	KB
ameliorasi	KB
amelioratif	KS
amendemen	KB
amenorea	KS
amensalisme	KB
amerisium	KB
amerospora	KB
amerta	KS
ametabola	KB
ametis	KB
amfetamin	KB
amfiartrosis	KB
amfibi	KB
amfibol	KB
amfibolisme	KB
amfiteater	KB
amfoterik	KS
ami	KS
amigdalin	KB
amikal	KS
amil	KB
amilase	KB
amilopektin	KB
amin	TB
amina	KB
aminisasi	KB
amino	KB
amir	KB
amirulbahar	KB
amirulmukminin	KB
amis	KS
amit	KB
amko	KB
ammeter	KB
amnesia	KB
amnesti	KB
amnion	KB
amniotik	KS
amoi	KB
amonia	KB
amonifikasi	KB
amonium	KB
amor	KB
amoral	KS
amorf	KS
amortisasi	KB
ampai	KS
ampang	KS
ampas	KB
ampat	BLP
ampe	KT
ampean	KB
ampek	KB
ampel	KB
ampela	KB
ampelas	KB
ampere	KB
amperemeter	KB
amperometri	KB
ampisilin	KB
amplas	KB
amplifikasi	KB
amplitudo	KB
amplop	KB
ampo	KB
amprok	KKI
amprung	KS
ampu	KKI
ampuh	KS
ampuk	KB
ampul	KKI
ampula	KB
ampun	KB
amput	KKI
amputasi	KB
amril	KB
amsal	KB
amtenar	KB
amuba	KB
amuk	KB
amulet	KB
amung	BLP
amunisi	KB
ana	KB
anabasis	KB
anabiosis	KB
anabolisme	KB
anadrom	KB
anaerob	KB
anaerobik	KS
anafilaksis	KB
anafora	KB
anaforis	KS
anaglif	KB
anai-anai	KB
anak	KB
anak emas	KB
anak sungai	KB
anak tiri	KB
anakoluton	KB
anakronisme	KB
anal	KS
analekta	KB
analeptik	KB
analgesik	KB
analis	KB
analisis	KB
analitis	KS
analog	KS
analogi	KB
analsit	KB
anamel	KB
anamnesis	KB
anamorfosis	KB
ananda	KB
anang	KB
anapes	KB
anarki	KB
anarkis	KB
anarkisme	KB
anarkistis	KS
anasir	KB
anastomosis	KB
anatase	KB
anatomi	KB
anatomis	KS
anca	KB
ancam	KKI
ancang	KB
ancol	KB
Anda	KG
andai	KB
andal	KS
andalusit	KB
andam	KB
andan	KB
andang	KB
andapita	KB
andesit	KB
andewi	KB
andika	KB
andiko	KB
andil	KB
andilau	KB
andong	KB
andragogi	KB
andrawina	KB
androgen	KB
androgini	KB
andrologi	KB
anduh	KKI
aneh	KS
aneka	BLP
aneka ragam	KS
anekdot	KB
aneksasi	KB
anemia	KB
anemofili	KB
anemograf	KB
anemogram	KB
anemometer	KB
aneroid	KS
anestesi	KB
anestesia	KB
aneuploid	KB
aneurisme	KB
angan	KB
angel	KS
angga	KKI
anggap	KKI
anggar	KT
anggara	KS
anggit	KKI
anggota	KB
anggrek	KB
anggrekwan	KB
angguk	KB
anggul	KKI
anggun	KS
anggur	KKI
anggut	KKI
angin	KB
angina	KB
angiogenesis	KB
angiologi	KB
angiosperma	KB
angit	KS
angka	KB
angkak	KB
angkara	KB
angkasa	KB
angkat	KKI
angkel	KB
angker	KS
angket	KB
angklung	KB
angkuh	KS
angkuk	KB
angkup	KB
angkur	KB
angkusa	KB
angkut	KKI
angkut-angkut	KB
angler	KS
anglo	KB
angot	KS
angpau	KB
angsa	KB
angsana	KB
angsoka	KB
angsur	KKI
anhidrosis	KB
ani	KB
ani-ani	KB
aniaya	KB
anil	KB
anilina	KB
animasi	KB
animis	KB
animisme	KB
animo	KB
anion	KB
aniridia	KS
anis	KB
anisogamet	KB
anisogami	KB
anisokoria	KB
anja	KS
anjak	KKI
anjal	KKI
anjang	KKI
anjangsana	KB
anjing	KB
anjlok	KKI
anjung	KB
ankilosis	KB
anoa	KB
anode	KB
anofeles	KB
anoksemia	KB
anoksik	KB
anom	KS
anomali	KB
anomi	KB
anonim	KS
anonimitas	KB
anoreksia	KB
anorganik	KS
anosmia	KB
anotasi	KB
ansa	KB
ansambel	KB
